ID,Provider_1,ProvID_1,Provider_2,ProvID_2,Stationnam,RiverName,RiverBasin,Country,CountryNam,Continent,HydroRegio,DrainArPro,DrainArLDD,YProvided,XProvided,YCorrected,XCorrected,ToCalibrat,ValidGLOFA,Legend_for,Comments,StartDate,EndDate,AddedDate,Lake,Reservoir,Lastupdate,CalibYear
G0328,GRDC,2911206,NA,NA,Kameny Kar Er,Ishim,Ob,KZ,Kazakhstan,Asia,511,86200,86773,52.02,66.28,52.15,66.25,0,1,old data,,1/1/1970,3/25/1987,,0,0,,0
G0329,GRDC,6340140,NA,NA,Barby,Elbe,Elbe,DE,Germany,Europe,32,94060,96838,51.991,11.883,52.05,11.75,1,1,,,1/1/1914,12/31/2013,,0,0,,2017
G0330,GRDC,6337514,NA,NA,Bodenwerder,Weser,Weser,DE,Germany,Europe,32,15924,16003,51.973,9.516,51.85,9.45,1,1,,,1/1/1914,12/31/2013,,0,0,,2017
G0331,GRDC,6340300,NA,NA,Calbe Grizehne,Saale,Elbe,DE,Germany,Europe,32,23719,23992,51.9,11.75,51.95,11.85,1,1,,,11/1/1931,12/31/2013,,0,0,,2017
G0332,GRDC,6340170,NA,NA,Aken,Elbe,Elbe,DE,Germany,Europe,32,70093,71597,51.863,12.059,51.85,12.05,1,1,,,11/1/1935,12/31/2013,,0,0,,2017
G0333,GRDC,6340130,NA,NA,Wittenberg,Elbe,Elbe,DE,Germany,Europe,32,61879,62609,51.862,12.647,51.85,12.65,1,1,,,11/1/1950,12/31/2013,,0,0,,2017
G0334,GRDC,4213603,NA,NA,Near Waterhen,Waterhen,Nelson,CA,Canada,North_America,11,55100,56918,51.8528,-99.5472,51.85,-99.55,1,1,,[ZZ] below lake influence in the hydrograph is visible,11/1/1950,12/29/2015,,211,0,,2017
G0335,GRDC,4207305,NA,NA,Below Big Creek,Chilcotin,Fraser,CA,Canada,North_America,12,19300,19508,51.8486,-122.6533,51.85,-122.75,1,1,,,11/1/1970,12/31/2013,,0,0,2/1/2018,2017
G0336,GRDC,4244655,NA,NA,En Aval Du Lac Breton,Little Mecatina,Little Mecatina,CA,Canada,North_America,12,12100,12713,51.8436,-60.1247,51.95,-60.25,1,1,,,10/11/1978,8/5/1993,,0,0,,0
G0337,GRDC,6435060,NA,NA,Lobith,Rhine,Rhine,NL,Netherlands,Europe,32,160800,163315,51.84,6.11,51.85,6.15,1,1,,,1/1/1914,12/31/2013,,0,0,,2017
G0338,GRDC,6421501,NA,NA,Megen Dorp,Meuse _ Mosa,Rhine,NL,Netherlands,Europe,32,28980,30034,51.82,5.54,51.85,5.55,1,1,,,2/19/1996,12/31/2012,,0,0,,2017
G0339,GRDC,6421100,NA,NA,Lith,Meuse _ Mosa,Rhine,NL,Netherlands,Europe,32,29000,29092,51.82,5.45,51.65,5.95,1,1,,,1/1/1914,12/31/1995,,0,0,,0
G0340,GRDC,6335020,NA,NA,Rees,Rhine,Rhine,DE,Germany,Europe,32,159300,162845,51.75,6.4,51.75,6.45,1,1,,,1/1/1914,12/31/2012,,0,0,,2017
G0341,GRDC,2909160,NA,NA,Kyzyl,Yenisey,Yenisei,RU,Russian Federation,Asia,511,115000,119865,51.72,94.4,51.75,94.45,1,1,,,1/1/1936,12/31/1993,,0,0,,0
G0342,GRDC,2919100,NA,NA,Orenburg,Ural,Ural,RU,Russian Federation,Europe,532,82300,83988,51.68,55.1,51.75,55.05,1,1,,,1/1/1958,12/31/1999,,0,0,,0
G0343,GRDC,6421102,NA,NA,Venlo,Meuse _ Mosa,Rhine,NL,Netherlands,Europe,32,26040,27194,51.68,6.17,51.55,6.05,1,1,,,5/24/1996,12/31/2013,,0,0,,2017
G0344,GRDC,4213561,NA,NA,Above Panther River,Red Deer River (Trib. Red Deer Lake),Nelson,CA,Canada,North_America,11,-9999,1653,51.6594,-115.4097,51.65,-115.45,1,1,,[ZZ] data issue   low values are cut off  full period,6/1/1967,10/31/2013,,0,0,2/1/2018,2017
G0345,GRDC,6337516,NA,NA,Karlshafen,Weser,Weser,DE,Germany,Europe,32,14794,15061,51.648,9.438,51.65,9.45,1,1,,,11/1/1940,12/31/2013,,0,0,,2017
G0346,GRDC,6337519,NA,NA,Wahmbeck,Weser,Weser,DE,Germany,Europe,32,12996,12851,51.625,9.52,51.55,9.55,1,1,,,11/1/1940,12/31/2013,,0,0,,2017
G0347,GRDC,4213571,NA,NA,Kamsack,Assiniboine,Nelson,CA,Canada,North_America,11,13000,13474,51.5647,-101.9161,51.55,-101.95,1,1,,,4/8/1944,12/31/2016,,0,0,2/1/2018,2017
G0348,GRDC,6340190,NA,NA,Torgau 1,Elbe,Elbe,DE,Germany,Europe,32,55211,56062,51.559,13.011,51.55,13.05,1,1,,,11/1/1935,12/31/2013,,0,0,,2017
G0349,GRDC,6340301,NA,NA,Halle Trotha,Saale,Elbe,DE,Germany,Europe,32,17979,18027,51.5218,11.9535,51.45,11.95,1,1,,,11/1/1954,12/31/2013,,0,0,,2017
G0350,GRDC,4213480,NA,NA,Near Drumheller,Kneehills Creek,Nelson,CA,Canada,North_America,11,-9999,2438,51.47,-112.9769,51.45,-112.95,1,1,,,3/1/1921,10/31/2014,,0,0,2/1/2018,2017
G0351,GRDC,4213562,NA,NA,Drumheller,Red Deer River (Trib. S. Saskatchewan),Nelson,CA,Canada,North_America,11,24800,25080,51.4672,-112.7106,51.45,-112.75,1,1,,,11/27/1915,12/31/2016,,0,0,2/1/2018,2017
G0352,GRDC,4214680,NA,NA,En Aval Du Lac Nemiscau,Rupert,Rupert,CA,Canada,North_America,11,40900,40968,51.4486,-76.8664,51.35,-77.25,1,1,,,8/1/1963,9/30/2001,,242,0,,2017
G0353,GRDC,6337400,NA,NA,Hann  Muenden,Weser,Weser,DE,Germany,Europe,32,12442,12694,51.426,9.641,51.45,9.65,1,1,,,1/1/1914,12/31/2012,,0,0,,2017
G0354,GRDC,4214520,NA,NA,Near Hat Island,Albany,Albany,CA,Canada,North_America,11,118000,118451,51.3306,-83.8389,51.15,-84.45,1,1,,,10/21/1964,12/31/2016,,0,0,2/1/2018,2017
G0355,GRDC,6335050,NA,NA,Duesseldorf,Rhine,Rhine,DE,Germany,Europe,32,147680,149561,51.226,6.77,51.15,6.85,1,1,,,11/1/1930,12/31/2012,,0,0,,2017
G0356,GRDC,6340120,NA,NA,Dresden,Elbe,Elbe,DE,Germany,Europe,32,53096,53521,51.06,13.739,50.95,13.85,1,1,,,1/1/1914,12/31/2013,,0,0,,2017
G0357,GRDC,4207830,NA,NA,Mclure,North Thompson,Fraser,CA,Canada,North_America,12,19600,20093,51.0414,-120.2411,51.15,-120.15,1,1,,,9/1/1958,12/31/2014,,0,0,2/1/2018,2017
G0358,GRDC,6335060,NA,NA,Koeln,Rhine,Rhine,DE,Germany,Europe,32,144232,147971,50.937,6.963,50.95,6.95,1,1,,,1/1/1914,10/31/2013,,0,0,,2017
G0359,GRDC,6421103,NA,NA,Bunde,Julianakanaal,Rhine,NL,Netherlands,Europe,32,-9999,22572,50.9,5.74,50.95,5.75,0,0,,[NV] Exclude? Artificial structure(canal),1/1/1994,12/31/2013,,0,0,,0
G0360,GRDC,2911104,NA,NA,Semiyarskoje,Irtysh,Ob,KZ,Kazakhstan,Asia,511,230000,230807,50.88,78.32,50.65,79.15,1,1,,,1/1/1960,12/31/1987,,0,0,,0
G0361,GRDC,6421900,NA,NA,Smeermaas,Zuid Willemsvaart,Rhine,NL,Netherlands,Europe,32,-9999,22013,50.88,5.68,50.85,5.65,1,0,,same position as G0362,1/1/1994,12/31/2013,,0,0,,0
